State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors,Quarter_num,Year,Fatality_Rate,Injury_Rate,Vehicles_per_Crash,Total_Factors
Borno,19,210,5,32,4,0,0,0,28,Q4,2023,26.3,1105.3,2,32
Cross River,26,42,16,28,15,0,0,0,13,Q4,2023,61.5,161.5,1,28
Delta,38,123,29,41,20,0,0,1,20,Q4,2023,76.3,323.7,1,41
Ebonyi,25,72,11,28,15,0,0,0,13,Q4,2023,44.0,288.0,1,28
Edo,46,102,16,67,38,0,0,0,29,Q4,2023,34.8,221.7,1,67
Ekiti,24,37,2,42,30,1,0,0,11,Q4,2023,8.3,154.2,2,42
Enugu,42,193,16,52,31,0,0,0,21,Q4,2023,38.1,459.5,1,52
FCT,296,548,69,382,258,0,0,1,123,Q4,2023,23.3,185.1,1,382
Gombe,118,464,29,100,57,0,0,0,43,Q4,2023,24.6,393.2,1,100
Imo,29,72,24,33,17,3,1,0,12,Q4,2023,82.8,248.3,1,33
Jigawa,114,460,36,211,160,0,0,3,48,Q4,2023,31.6,403.5,2,211
Kaduna,209,889,150,218,118,1,0,9,90,Q4,2023,71.8,425.4,1,218
Kano,59,265,62,77,54,0,0,0,23,Q4,2023,105.1,449.2,1,77
Katsina,40,207,45,49,30,0,0,0,19,Q4,2023,112.5,517.5,1,49
Kebbi,50,219,40,52,46,0,0,0,6,Q4,2023,80.0,438.0,1,52
Kogi,107,355,65,128,67,0,0,0,61,Q4,2023,60.7,331.8,1,128
Kwara,75,316,57,110,47,0,0,2,61,Q4,2023,76.0,421.3,1,110
Lagos,101,127,17,102,65,0,0,1,36,Q4,2023,16.8,125.7,1,102
Nasarawa,212,555,32,268,148,2,2,0,116,Q4,2023,15.1,261.8,1,268
Niger,99,649,97,134,108,0,0,2,24,Q4,2023,98.0,655.6,1,134
Ogun,202,521,102,380,265,0,0,0,115,Q4,2023,50.5,257.9,2,380
Ondo,100,264,54,135,81,0,1,3,50,Q4,2023,54.0,264.0,1,135
Osun,96,287,47,146,84,0,4,2,56,Q4,2023,49.0,299.0,2,146
Oyo,127,372,78,194,122,0,0,3,69,Q4,2023,61.4,292.9,2,194
Plateau,74,244,28,78,39,0,0,2,37,Q4,2023,37.8,329.7,1,78
Rivers,16,28,3,17,10,0,0,0,7,Q4,2023,18.8,175.0,1,17
Sokoto,25,110,13,26,12,0,0,0,14,Q4,2023,52.0,440.0,1,26
Taraba,43,113,13,41,13,0,0,0,28,Q4,2023,30.2,262.8,1,41
Yobe,50,340,31,72,26,0,0,0,46,Q4,2023,62.0,680.0,1,72
Zamfara,15,36,18,21,17,0,0,0,4,Q4,2023,120.0,240.0,1,21
Abia,19,45,5,17,6,0,0,0,11,Q1,2024,26.3,236.8,1,17
Adamawa,29,163,27,42,29,0,0,0,13,Q1,2024,93.1,562.1,1,42
Akwa Ibom,10,23,5,13,5,0,0,0,8,Q1,2024,50.0,230.0,1,13
Anambra,31,73,13,36,17,0,0,2,17,Q1,2024,41.9,235.5,1,36
Bauchi,99,442,45,124,67,0,0,1,56,Q1,2024,45.5,446.5,1,124
Bayelsa,13,26,5,21,13,0,0,0,8,Q1,2024,38.5,200.0,2,21
Benue,83,317,49,101,62,2,0,0,37,Q1,2024,59.0,381.9,1,101
Borno,26,173,3,42,19,0,0,0,23,Q1,2024,11.5,665.4,2,42
Cross River,32,112,15,38,25,0,0,0,13,Q1,2024,46.9,350.0,1,38
Delta,31,76,18,44,26,0,0,0,18,Q1,2024,58.1,245.2,1,44
Ebonyi,43,60,19,35,22,0,0,0,13,Q1,2024,44.2,139.5,1,35
Edo,61,159,39,73,46,0,0,2,25,Q1,2024,63.9,260.7,1,73
Ekiti,24,55,9,33,27,2,0,0,4,Q1,2024,37.5,229.2,1,33
Enugu,44,164,24,50,39,0,0,0,11,Q1,2024,54.5,372.7,1,50
FCT,273,504,62,368,280,0,0,2,86,Q1,2024,22.7,184.6,1,368
Gombe,88,349,44,88,46,0,0,0,42,Q1,2024,50.0,396.6,1,88
Imo,34,134,36,28,25,0,0,0,3,Q1,2024,105.9,394.1,1,28
Jigawa,95,308,41,155,104,0,0,1,50,Q1,2024,43.2,324.2,2,155
Kaduna,180,828,171,181,96,1,0,6,78,Q1,2024,95.0,460.0,1,181
Kano,54,236,30,66,44,0,0,0,22,Q1,2024,55.6,437.0,1,66
Katsina,35,133,38,50,33,0,0,0,17,Q1,2024,108.6,380.0,1,50
Kebbi,33,250,41,34,29,0,0,0,5,Q1,2024,124.2,757.6,1,34
Kogi,121,500,83,193,126,1,0,1,65,Q1,2024,68.6,413.2,2,193
Kwara,74,300,70,109,63,0,0,0,46,Q1,2024,94.6,405.4,1,109
Lagos,113,165,18,111,71,1,0,0,39,Q1,2024,15.9,146.0,1,111
Nasarawa,169,438,41,242,167,2,1,0,72,Q1,2024,24.3,259.2,1,242
Niger,127,433,119,182,140,0,2,3,37,Q1,2024,93.7,340.9,1,182
Ogun,200,542,98,365,261,0,0,0,104,Q1,2024,49.0,271.0,2,365
Ondo,84,245,35,146,80,0,0,1,65,Q1,2024,41.7,291.7,2,146
Osun,100,376,96,123,71,0,0,1,51,Q1,2024,96.0,376.0,1,123
Oyo,131,298,68,122,84,0,0,2,36,Q1,2024,51.9,227.5,1,122
Plateau,77,185,15,98,48,1,0,0,49,Q1,2024,19.5,240.3,1,98
Rivers,15,32,4,21,17,0,0,0,4,Q1,2024,26.7,213.3,1,21
Sokoto,24,122,41,52,41,0,0,0,11,Q1,2024,170.8,508.3,2,52
Taraba,38,98,17,38,17,0,0,0,21,Q1,2024,44.7,257.9,1,38
Yobe,39,234,13,55,38,0,0,0,17,Q1,2024,33.3,600.0,1,55
Zamfara,13,61,14,16,14,0,0,0,2,Q1,2024,107.7,469.2,1,16
